Gym Name,Facility,Sub-Facility,Category,Phone Numbers,Day,Start Time,End Time,Restrictions,Equipment Type,Equipment Name,Quantity,Workout Type,Item,Price,Image Url
Helen Newman,Pool,,Hours,,Wednesday,12:15 PM,1:30 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Wednesday,8:30 PM,10:00 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Thursday,6:00 AM,8:45 AM,,,,,,,,
Helen Newman,Pool,,Hours,,Thursday,11:00 AM,1:30 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Thursday,10:00 PM,11:15 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Friday,7:00 AM,8:45 AM,,,,,,,,
Helen Newman,Pool,,Hours,,Friday,9:00 AM,9:50 AM,Hydro PT,,,,,,,
Helen Newman,Pool,,Hours,,Friday,10:00 AM,10:45 AM,Women Only,,,,,,,
Helen Newman,Pool,,Hours,,Friday,11:00 AM,1:30 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Friday,2:00 PM,3:15 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Friday,5:30 PM,7:00 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Saturday,12:30 PM,1:45 PM,Women Only,,,,,,,
Helen Newman,Pool,,Hours,,Saturday,2:00 PM,4:00 PM,,,,,,,,
Helen Newman,Pool,,Hours,,Sunday,Closed,Closed,,,,,,,,
Helen Newman,Bowling Alley,,Prices,,,,,,,,,,Price per game,$3.50 ,
Helen Newman,Bowling Alley,,Prices,,,,,,,,,,Shoe rental,$2.50 ,
Helen Newman,Fitness Center,,Phone Numbers,6072546728,,,,,,,,,,,
Helen Newman,Miscellaneous,Service Desk,Phone Numbers,6072558164,,,,,,,,,,,
Helen Newman,Miscellaneous,Classroom/Dance Studio,Sub-Facilities,,,,,,,,,,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Ab Powerlift,1,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Ab Rollers,4,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,AMTs,4,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Bench Press,2,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Bosu Ball,1,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,C2 rowing machines,1,Recovery,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Cable Pulls,3,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Core Bags,5,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Dip/Chin Assist,1,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Dumbbells,3LB - 100LB,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,Elliptical trainers,10,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Exercise Ball,2,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,Expresso bikes,4,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Flat benches,3,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Griprs,6,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Jungle Gym Bars,1,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Lat Pull,2,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Extension,1,Lowerbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Press,1,Lowerbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Mat,10,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Medicine Ball,8,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Powerlift Boxes,3,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,Precor treadmills,10,Endurance,,,
Noyes,Fitness Center,,Equipment,,,,,,Cardio Machines,Recumbent and upright bikes,6,Recovery,,,
Noyes,Fitness Center,,Equipment,,,,,,Cable Rack,Seated Cable Row,2,Upperbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Seated Leg Curl,1,Lowerbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Free Weights,Squat Racks,2,Lowerbody,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,TRX Strap,1,Functional,,,
Noyes,Fitness Center,,Equipment,,,,,,Stretching Area,Upper Body Ergometer,1,Recovery,,,
Noyes,Gymnasium,Basketball Court,Hours,,Saturday,11:00 AM,2:00 PM,Basketball,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Sunday,11:00 AM,2:00 PM,Volleyball,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Monday,7:00 AM,12:45 AM,,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Tuesday,7:00 AM,12:45 AM,,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Wednesday,7:00 AM,12:45 AM,,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Thursday,7:00 AM,12:45 AM,,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Friday,7:00 AM,12:45 AM,,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Saturday,11:00 AM,12:45 AM,,,,,,,,
Noyes,Gymnasium,Basketball Court,Hours,,Sunday,11:00 AM,12:45 AM,,,,,,,,
Noyes,Fitness Center,,Hours,,Monday,7:00 AM,11:30 PM,,,,,,,,
Noyes,Fitness Center,,Hours,,Tuesday,7:00 AM,11:30 PM,,,,,,,,
Noyes,Fitness Center,,Hours,,Wednesday,7:00 AM,11:30 PM,,,,,,,,
Noyes,Fitness Center,,Hours,,Thursday,7:00 AM,11:30 PM,,,,,,,,
Noyes,Fitness Center,,Hours,,Friday,7:00 AM,11:30 PM,,,,,,,,
Noyes,Fitness Center,,Hours,,Saturday,11:30 AM,10:00 PM,,,,,,,,
Noyes,Fitness Center,,Hours,,Sunday,11:30 AM,11:30 PM,,,,,,,,
Noyes,Fitness Center,,Phone Numbers,6072551713,,,,,,,,,,,
Noyes,Miscellaneous,Service Desk,Phone Numbers,6072550421,,,,,,,,,,,
Noyes,Miscellaneous,Bouldering Wall,Sub-Facilities,,,,,,,,,,,,
Noyes,Miscellaneous,Convenience Store,Sub-Facilities,,,,,,,,,,,,
Noyes,Miscellaneous,Game Area,Sub-Facilities,,,,,,,,,,,,
Noyes,Miscellaneous,Multi-Purpose Room,Sub-Facilities,,,,,,,,,,,,
Noyes,Miscellaneous,Outdoor Basketball Court,Sub-Facilities,,,,,,,,,,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Stretching Area,Powerlift Boxes,3,Functional,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Free Weights,Flat Benches,5,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Free Weights,Bench Press,4,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Free Weights,Dumbbells,3LB - 125LB,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Free Weights,Bicep Curl,1,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Free Weights,Squat Rack,8,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Stretching Area,Powerlift Boxes,4,Functional,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Stretching Area,Medicine Balls,6,Functional,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Cable Rack,Triceps Dip,1,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Cable Rack,Seated Cable Row,1,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Cable Rack,Cable Pull,4,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Cable Rack,Lat Pull,2,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Prone Leg Curl,1,Lowerbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Extension,1,Lowerbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Donkey Calf Station,1,Lowerbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Press,1,Lowerbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Rear Deltoid / Pectoral Fly,1,Upperbody,,,
Teagle Down,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Ab Extension,1,Upperbody,,,
Teagle Down,Fitness Center,,Hours,,Monday,7:00 AM,10:45 PM,,,,,,,,
Teagle Down,Fitness Center,,Hours,,Tuesday,7:00 AM,10:45 PM,,,,,,,,
Teagle Down,Fitness Center,,Hours,,Wednesday,7:00 AM,10:45 PM,,,,,,,,
Teagle Down,Fitness Center,,Hours,,Thursday,7:00 AM,10:45 PM,,,,,,,,
Teagle Down,Fitness Center,,Hours,,Friday,7:00 AM,8:00 PM,,,,,,,,
Teagle Down,Fitness Center,,Hours,,Saturday,12:00 PM,5:45 PM,,,,,,,,
Teagle Down,Fitness Center,,Hours,,Sunday,12:00 PM,5:45 PM,,,,,,,,
Teagle Down,Pool,,Hours,,Monday,6:00 AM,8:30 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Monday,9:45 AM,11:15 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Monday,12:15 PM,1:30 PM,,,,,,,,
Teagle Down,Pool,,Hours,,Tuesday,9:45 AM,11:15 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Tuesday,12:15 PM,1:30 PM,,,,,,,,
Teagle Down,Pool,,Hours,,Wednesday,6:00 AM,8:30 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Wednesday,9:45 AM,11:15 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Wednesday,12:15 PM,1:30 PM,,,,,,,,
Teagle Down,Pool,,Hours,,Thursday,9:45 AM,11:15 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Thursday,12:15 PM,1:30 PM,,,,,,,,
Teagle Down,Pool,,Hours,,Friday,6:00 AM,8:30 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Friday,9:45 AM,11:15 AM,,,,,,,,
Teagle Down,Pool,,Hours,,Friday,12:15 PM,1:30 PM,,,,,,,,
Teagle Down,Pool,,Hours,,Saturday,Closed,Closed,,,,,,,,
Teagle Down,Pool,,Hours,,Sunday,12:00 PM,2:00 PM,,,,,,,,
Teagle Down,Fitness Center,,Phone Numbers,6072555532,,,,,,,,,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,Precor Treadmills,10,Endurance,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,Elliptical Trainers,10,Endurance,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,AMTs,4,Endurance,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,Recumbent Bikes,4,Recovery,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,Upright Bikes,8,Recovery,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,C2 Rowing Machines,4,Recovery,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cardio Machines,VMX Rope Trainer,1,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Free Weights,Dumbbells,3LB - 70LB,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Free Weights,Flat Benches,4,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Extension,1,Lowerbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Seated Leg Curl,1,Lowerbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Leg Press,1,Lowerbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Inner / Outer Thigh,1,Lowerbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Converging Chest Press,1,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Precor Selectorized Machines,Rear Deltoid/Pectoral Fly,1,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cable Rack,Lat Pull,1,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cable Rack,Tricep Dip,1,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cable Rack,Seated Cable Row,1,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cable Rack,Cable Pull,1,Upperbody,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Cable Rack,Paramount Functional Trainer,1,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Core Bags,12,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Griprs,6,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Bulgarian Bags,4,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Medicine Balls,17,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Balance Discs,3,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Bosu Ball,1,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Mat,20,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Exercise Balls,2,Functional,,,
Teagle Up,Fitness Center,,Equipment,,,,,,Stretching Area,Ab Rollers,3,Functional,,,
Teagle Up,Fitness Center,,Hours,,Monday,7:00 AM,10:45 PM,,,,,,,,
Teagle Up,Fitness Center,,Hours,,Tuesday,7:00 AM,10:45 PM,,,,,,,,
Teagle Up,Fitness Center,,Hours,,Wednesday,7:00 AM,10:45 PM,,,,,,,,
Teagle Up,Fitness Center,,Hours,,Thursday,7:00 AM,10:45 PM,,,,,,,,
Teagle Up,Fitness Center,,Hours,,Friday,7:00 AM,8:00 PM,,,,,,,,
Teagle Up,Fitness Center,,Hours,,Saturday,12:00 PM,5:45 PM,,,,,,,,
Teagle Up,Fitness Center,,Hours,,Sunday,12:00 PM,5:45 PM,,,,,,,,
Teagle Up,Fitness Center,,Phone Numbers,6072554713,,,,,,,,,,,
Teagle Up,Miscellaneous,Service Desk,Phone Numbers,6072551318,,,,,,,,,,,
